FullState(2 4 1 4 3 5 0 1 1)
Iteration: 100
Learning Rate: 0.5
Discount Rate: 0.3
Random Chance: 0.1
State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+06.5000,+00.0000
1 2 0,+00.0000,+00.0000,+00.0000,-00.5000,+00.0000,+00.0000
1 3 0,+00.0000,-00.5000,+00.0000,-00.5000,+00.0000,+00.0000
1 4 0,+00.0000,-00.8750,-00.5000,-00.7500,+00.0000,+00.0000
1 5 0,+00.0000,+00.0000,+00.0000,-00.8750,+00.0000,+00.0000
2 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 2 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 3 0,+00.0000,-00.5000,+00.0000,+00.0000,+00.0000,+00.0000
2 4 0,-00.8750,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 5 0,-00.5000,-00.5000,+00.0000,+00.0000,+00.0000,+00.0000
3 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
3 2 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
3 3 0,+00.0000,+00.0000,+00.0000,+00.0000,+09.7500,+00.0000
3 4 0,+00.0000,-00.5000,+00.0000,+00.4750,+00.0000,+00.0000
3 5 0,-00.5000,-00.5000,+00.0000,-00.5000,+00.0000,+00.0000
4 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
4 2 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
4 3 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
4 4 0,-00.5000,+00.0000,-00.5000,+00.0000,+00.0000,+00.0000
4 5 0,-00.7500,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 1 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 2 0,+00.0000,+00.0000,-00.5000,+00.0000,+00.0000,+00.0000
5 3 0,+00.0000,+00.0000,-00.5000,-00.5000,+00.0000,+00.0000
5 4 0,-00.5000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
5 5 0,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000

State, NORTH, SOUTH, EAST, WEST, PICKUP, DROPOFF
1 1 1,+00.0000,-00.7500,-00.8750,+00.0000,+00.0000,+00.0000
1 2 1,+00.0000,-00.7500,-00.7500,-00.8750,+00.0000,+00.0000
1 3 1,+00.0000,-00.7500,-00.5000,+00.0000,+00.0000,+00.0000
1 4 1,+00.0000,+00.0000,+00.0000,-00.5000,+00.0000,+00.0000
1 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 1 1,-00.5000,-00.8750,-00.5000,+00.0000,+00.0000,+00.0000
2 2 1,-00.9375,-00.8750,-00.7500,-00.5000,+00.0000,+00.0000
2 3 1,+00.0000,-00.5000,+00.0000,-00.9375,+00.0000,+00.0000
2 4 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000
2 5 1,+00.0000,+00.0000,+00.0000,+00.0000,+00.0000,+06.5000
3 1 1,-00.7500,-00.5000,-00.5000,+00.0000,+00.0000,+00.0000
